,Date,Temperatures (°C),Setpoints (°C),Vehicle position,Verschil
1,09.07.2021 09:08:41,"19,3","20,0","FI, 86110, Puustellintie 560",2021-07-09 09:08:41
2,09.07.2021 09:08:41,"19,3","20,0","FI, 86110, Puustellintie 560",0:00:00
3,09.07.2021 09:08:47,"19,3","20,0","FI, 86110, Puustellintie 560",0:00:06
4,09.07.2021 09:23:49,"19,3","20,0","FI, 86110, Puustellintie 551",0:15:08
5,09.07.2021 09:38:44,"19,9","20,0","FI, 86110, Puustellintie 551",0:30:03
6,09.07.2021 09:38:54,"19,8","20,0","FI, 86110, Puustellintie 551",0:30:13
7,09.07.2021 09:44:59,"19,3","20,0","FI, 86110, Hanhikiventie",0:36:18
8,09.07.2021 09:53:59,"19,9","20,0","FI, 86100, Ouluntie 10",0:45:18
9,09.07.2021 10:09:04,"19,6","20,0","FI, 85100, Ouluntie 772",1:00:23
10,09.07.2021 10:24:09,"19,3","20,0","FI, 85180, Kokkolantie 1051",1:15:28
11,09.07.2021 10:39:14,"19,9","20,0","FI, 68240, Harmaalanperäntie 1",1:30:33
12,09.07.2021 10:54:19,"19,6","20,0","FI, 68320, Pohjanlahdentie 976",1:45:38
13,09.07.2021 11:09:24,"19,7","20,0","FI, 67700, Elisabetintie 27",2:00:43
14,09.07.2021 11:24:29,"19,7","20,0","FI, 68530, Eurooppatie 1474",2:15:48
15,09.07.2021 11:39:34,"19,8","20,0","FI, 66900, Valtatie kahdeksan 96",2:30:53
16,09.07.2021 11:46:44,"19,8","20,0","FI, 66850, Läntinen Jepuantie 612",2:38:03
17,09.07.2021 11:47:59,"19,8","20,0","FI, 66850, Läntinen Jepuantie 544",2:39:18
18,09.07.2021 11:54:39,"19,8","20,0","FI, 66850, Ekolantie 481",2:45:58
19,09.07.2021 12:09:44,"19,6","20,0","FI, 62300, 19",3:01:03
20,09.07.2021 12:24:49,"19,7","20,0","FI, 62200, Pohjan valtatie 192",3:16:08
21,09.07.2021 12:39:54,"19,8","20,0","FI, 60550, Pohjan valtatie 1100",3:31:13
22,09.07.2021 12:54:59,"19,4","20,0","FI, 60760, Jalasjärventie",3:46:18
23,09.07.2021 13:10:04,"19,8","20,0","FI, 61600, Seinäjoentie 80",4:01:23
24,09.07.2021 13:25:09,"19,7","20,0","FI, 61720, Koskuen kehätie 247",4:16:28
25,09.07.2021 13:40:14,"19,7","20,0","FI, 39750, Vaasantie 2353",4:31:33
1,09.07.2021 13:55:19,"19,7","20,0","FI, 39700 Parkano, Vaasantie 214",4:46:38
2,09.07.2021 14:10:24,"19,6","20,0","FI, 39500, Kolmostie 1761",5:01:43
3,09.07.2021 14:16:04,"19,6","20,0","FI, 39530, Kolmostie 1043",5:07:23
4,09.07.2021 14:16:49,"19,6","20,0","FI, 39530, Kolmostie 1043",5:08:08
5,09.07.2021 14:25:29,"19,6","20,0","FI, 39530, Kolmostie 1043",5:16:48
6,09.07.2021 14:40:34,"19,9","20,0","FI, 39530, Kolmostie 1043",5:31:53
7,09.07.2021 14:49:39,"19,7","20,0","FI, 39530, Kolmostie 1043",5:40:58
8,09.07.2021 14:55:39,"19,7","20,0","FI, 39530, Kolmostie 1043",5:46:58
9,09.07.2021 15:06:19,"19,6","20,0","FI, 39500, Kolmostie 969",5:57:38
10,09.07.2021 15:10:44,"19,6","20,0","FI, 39500, Kolmostie 365",6:02:03
11,09.07.2021 15:25:49,"19,8","20,0","FI, 39100, Häijääntie 880",6:17:08
12,09.07.2021 15:40:54,"19,7","20,0","FI, 38100, Sastamalantie 1851",6:32:13
13,09.07.2021 15:55:59,"19,9","20,0","FI, 38300 Kiikka, Äetsäntie 976",6:47:18
14,09.07.2021 16:11:04,"19,6","20,0","FI, 32700, Tampereentie 154",7:02:23
15,09.07.2021 16:26:09,"19,8","20,0","FI, 32610, Turuntie 1925",7:17:28
16,09.07.2021 16:41:14,"19,7","20,0","FI, 21890 Ortenoja, Kantatie 1754",7:32:33
17,09.07.2021 16:56:19,"19,8","20,0","FI, 21380 Aura, Kallenkuja 1",7:47:38
18,09.07.2021 17:11:24,"19,7","20,0","FI, 21480 Vättilä, Salontie 233",8:02:43
19,09.07.2021 17:26:29,"19,6","20,0","FI, 24800, Turku-Helsinki moottoritie",8:17:48
20,09.07.2021 17:41:34,"19,8","20,0","FI, 24130, Perniöntie 454",8:32:53
21,09.07.2021 17:55:09,"19,8","20,0","FI, 25500, Perniöntie 2157",8:46:28
22,09.07.2021 17:56:24,"19,8","20,0","FI, 25500 Perniö, Perniöntie 2223",8:47:43
23,09.07.2021 17:56:39,"19,8","20,0","FI, 25500, Perniöntie 2261",8:47:58
24,09.07.2021 18:11:44,"19,6","20,0","FI, 10520 Gennarby, Tenholantie 885",9:03:03
25,09.07.2021 18:26:49,"19,8","20,0","FI, 10680, Hangontie 1134",9:18:08
1,09.07.2021 18:41:54,"19,8","20,0","FI, 10960 Hanko, Santalantie 29",9:33:13
2,09.07.2021 18:49:49,"19,6","20,0","FI, 10900 Hangö, Hamngatan 2",9:41:08
3,09.07.2021 18:50:04,"19,6","20,0","FI, 10900 Hangö, Hamngatan 2",9:41:23
4,09.07.2021 18:50:19,"19,6","20,0","FI, 10900 Hangö, Hamngatan 2",9:41:38
5,09.07.2021 18:50:59,"19,6","20,0","FI, 10900 Hangö, Hamngatan 2",9:42:18
6,09.07.2021 18:51:09,"19,6","20,0","FI, 10900 Hangö, Hamngatan 2",9:42:28
7,09.07.2021 18:56:59,"19,4","20,0","FI, 10900 Hangö, Hamngatan 2",9:48:18
8,09.07.2021 19:12:04,"20,1","20,0","FI, 10900 Hangö, Hamngatan 2",10:03:23
9,09.07.2021 19:27:09,"19,6","20,0","FI, 10900 Hangö, Hamngatan 2",10:18:28
10,09.07.2021 19:42:14,"19,8","20,0","FI, 10900 Hangö, Hamngatan 2",10:33:33
11,09.07.2021 19:57:19,"19,8","20,0","FI, 10900 Hangö, Hamngatan 2",10:48:38
12,09.07.2021 20:00:39,"19,7","20,0","FI, 10900 Hangö, Hamngatan 2",10:51:58
13,09.07.2021 20:05:49,"19,7","20,0","FI, 10900 Hanko, Voimakasiini",10:57:08
14,09.07.2021 20:12:24,"19,6","20,0","FI, 10900 Hanko, Voimakasiini",11:03:43
15,09.07.2021 20:27:29,"19,7","20,0","FI, 10900 Hanko, Voimakasiini",11:18:48
16,09.07.2021 20:42:34,"18,8","20,0","FI, 10900 Hanko, Voimakasiini",11:33:53
17,09.07.2021 20:57:39,"20,1","20,0","FI, 10900 Hanko, Voimakasiini",11:48:58
18,09.07.2021 21:12:44,"20,1","20,0","FI, 10900 Hanko, Voimakasiini",12:04:03
19,09.07.2021 21:27:49,"19,8","20,0","FI, 10900 Hanko, Voimakasiini",12:19:08
20,09.07.2021 21:42:54,"19,4","20,0","FI, 10900 Hanko, Voimakasiini",12:34:13
21,09.07.2021 21:57:59,"19,2","20,0","FI, 10900 Hanko, Voimakasiini",12:49:18
22,09.07.2021 22:13:04,"19,6","20,0","FI, 10900 Hanko, Voimakasiini",13:04:23
23,09.07.2021 22:28:09,"19,9","20,0","FI, 10900 Hanko, Voimakasiini",13:19:28
24,09.07.2021 22:43:14,"19,9","20,0","FI, 10900 Hanko, Voimakasiini",13:34:33
25,09.07.2021 22:46:44,"19,9","20,0","FI, Voimakasiini",13:38:03
1,09.07.2021 22:58:19,"19,9","20,0","FI, Voimakasiini",13:49:38
2,09.07.2021 23:13:24,"20,1","20,0","FI, Voimakasiini",14:04:43
3,09.07.2021 23:28:29,"20,1","20,0","FI, Voimakasiini",14:19:48
4,09.07.2021 23:43:34,"19,8","20,0","FI, Voimakasiini",14:34:53
5,09.07.2021 23:58:39,"19,3","20,0","FI, Voimakasiini",14:49:58
6,10.07.2021 00:13:44,"19,4","20,0","FI, Voimakasiini",15:05:03
7,10.07.2021 00:28:49,"19,9","20,0","FI, Voimakasiini",15:20:08
8,10.07.2021 00:43:54,"19,8","20,0","FI, Voimakasiini",15:35:13
9,10.07.2021 00:58:59,"19,4","20,0","FI, Voimakasiini",15:50:18
10,10.07.2021 01:14:04,"19,6","20,0","FI, Voimakasiini",16:05:23
11,10.07.2021 01:29:09,"19,9","20,0","FI, Voimakasiini",16:20:28
12,10.07.2021 01:44:14,"19,8","20,0","FI, Voimakasiini",16:35:33
13,10.07.2021 01:59:19,"19,4","20,0","FI, Voimakasiini",16:50:38
14,10.07.2021 02:14:24,"19,7","20,0","FI, Voimakasiini",17:05:43
15,10.07.2021 02:29:29,"19,9","20,0","FI, Voimakasiini",17:20:48
16,10.07.2021 02:44:34,"19,7","20,0","FI, Voimakasiini",17:35:53
17,10.07.2021 02:59:39,"19,4","20,0","FI, Voimakasiini",17:50:58
18,10.07.2021 03:14:44,"19,7","20,0","FI, Voimakasiini",18:06:03
19,10.07.2021 03:29:49,"20,0","20,0","FI, Voimakasiini",18:21:08
20,10.07.2021 03:44:54,"20,1","20,0","FI, Voimakasiini",18:36:13
21,10.07.2021 03:59:59,"20,0","20,0","FI, Voimakasiini",18:51:18
22,10.07.2021 04:15:04,"19,9","20,0","FI, Voimakasiini",19:06:23
23,10.07.2021 04:30:09,"19,7","20,0","FI, Voimakasiini",19:21:28
24,10.07.2021 04:45:14,"19,9","20,0","FI, Voimakasiini",19:36:33
25,10.07.2021 05:00:19,"20,1","20,0","FI, Voimakasiini",19:51:38
1,10.07.2021 05:15:24,"20,1","20,0","FI, Voimakasiini",20:06:43
2,10.07.2021 05:30:29,"20,1","20,0","FI, Voimakasiini",20:21:48
3,10.07.2021 05:45:34,"19,7","20,0","FI, Voimakasiini",20:36:53
4,10.07.2021 06:00:39,"19,5","20,0","FI, Voimakasiini",20:51:58
5,10.07.2021 06:15:44,"19,9","20,0","FI, Voimakasiini",21:07:03
6,10.07.2021 06:30:49,"19,8","20,0","FI, Voimakasiini",21:22:08
7,10.07.2021 06:45:54,"19,5","20,0","FI, Voimakasiini",21:37:13
8,10.07.2021 07:00:59,"19,6","20,0","FI, Voimakasiini",21:52:18
9,10.07.2021 07:16:04,"19,8","20,0","FI, Voimakasiini",22:07:23
10,10.07.2021 07:31:09,"19,8","20,0","FI, Voimakasiini",22:22:28
11,10.07.2021 07:46:14,"19,6","20,0","FI, Voimakasiini",22:37:33
12,10.07.2021 08:01:19,"19,6","20,0","FI, Voimakasiini",22:52:38
13,10.07.2021 08:16:24,"19,8","20,0","FI, Voimakasiini",23:07:43
14,10.07.2021 08:31:29,"19,8","20,0","FI, Voimakasiini",23:22:48
15,10.07.2021 08:46:34,"19,7","20,0","FI, Voimakasiini",23:37:53
16,10.07.2021 09:01:39,"19,4","20,0","FI, Voimakasiini",23:52:58
17,10.07.2021 09:16:44,"19,7","20,0","FI, Voimakasiini","1 day, 0:08:03"
18,10.07.2021 09:31:49,"19,9","20,0","FI, Voimakasiini","1 day, 0:23:08"
19,10.07.2021 09:46:54,"19,7","20,0","FI, Voimakasiini","1 day, 0:38:13"
20,10.07.2021 10:01:59,"19,4","20,0","FI, Voimakasiini","1 day, 0:53:18"
21,10.07.2021 10:17:04,"19,6","20,0","FI, Voimakasiini","1 day, 1:08:23"
22,10.07.2021 10:32:09,"19,8","20,0","FI, Voimakasiini","1 day, 1:23:28"
23,10.07.2021 10:47:14,"19,8","20,0","FI, Voimakasiini","1 day, 1:38:33"
24,10.07.2021 11:02:19,"19,7","20,0","FI, Voimakasiini","1 day, 1:53:38"
25,10.07.2021 11:17:24,"19,7","20,0","FI, Voimakasiini","1 day, 2:08:43"
1,10.07.2021 11:32:29,"19,4","20,0","FI, Voimakasiini","1 day, 2:23:48"
2,10.07.2021 11:47:34,"19,4","20,0","FI, Voimakasiini","1 day, 2:38:53"
3,10.07.2021 12:02:39,"19,5","20,0","FI, Voimakasiini","1 day, 2:53:58"
4,10.07.2021 12:17:44,"19,7","20,0","FI, Voimakasiini","1 day, 3:09:03"
5,10.07.2021 12:32:49,"19,9","20,0","FI, Voimakasiini","1 day, 3:24:08"
6,10.07.2021 12:47:54,"19,8","20,0","FI, Voimakasiini","1 day, 3:39:13"
7,10.07.2021 13:02:59,"19,4","20,0","FI, Voimakasiini","1 day, 3:54:18"
8,10.07.2021 13:18:04,"19,7","20,0","FI, Voimakasiini","1 day, 4:09:23"
9,10.07.2021 13:33:09,"19,8","20,0","FI, Voimakasiini","1 day, 4:24:28"
10,10.07.2021 13:48:14,"19,6","20,0","FI, Voimakasiini","1 day, 4:39:33"
11,10.07.2021 14:03:19,"19,7","20,0","FI, Voimakasiini","1 day, 4:54:38"
12,10.07.2021 14:18:24,"19,8","20,0","FI, Voimakasiini","1 day, 5:09:43"
13,10.07.2021 14:33:29,"19,6","20,0","FI, Voimakasiini","1 day, 5:24:48"
14,10.07.2021 14:48:34,"19,6","20,0","FI, Voimakasiini","1 day, 5:39:53"
15,10.07.2021 15:03:39,"19,8","20,0","FI, Voimakasiini","1 day, 5:54:58"
16,10.07.2021 15:18:44,"19,4","20,0","FI, Voimakasiini","1 day, 6:10:03"
17,10.07.2021 15:33:49,"19,8","20,0","FI, Voimakasiini","1 day, 6:25:08"
18,10.07.2021 15:48:54,"19,6","20,0","FI, Voimakasiini","1 day, 6:40:13"
19,10.07.2021 16:03:59,"19,8","20,0","FI, Voimakasiini","1 day, 6:55:18"
20,10.07.2021 16:19:04,"19,4","20,0","FI, Voimakasiini","1 day, 7:10:23"
21,10.07.2021 16:34:09,"19,6","20,0","FI, Voimakasiini","1 day, 7:25:28"
22,10.07.2021 16:49:14,"19,6","20,0","FI, Voimakasiini","1 day, 7:40:33"
23,10.07.2021 17:04:19,"19,2","20,0","FI, Voimakasiini","1 day, 7:55:38"
24,10.07.2021 17:19:24,"19,6","20,0","FI, Voimakasiini","1 day, 8:10:43"
25,10.07.2021 17:34:29,"19,6","20,0","FI, Voimakasiini","1 day, 8:25:48"
1,10.07.2021 17:49:34,"19,6","20,0","FI, Voimakasiini","1 day, 8:40:53"
2,10.07.2021 18:04:39,"20,2","20,0","FI, Voimakasiini","1 day, 8:55:58"
3,10.07.2021 18:19:44,"19,4","20,0","FI, Voimakasiini","1 day, 9:11:03"
4,10.07.2021 18:34:49,"19,6","20,0","FI, Voimakasiini","1 day, 9:26:08"
5,10.07.2021 18:49:54,"19,6","20,0","FI, Voimakasiini","1 day, 9:41:13"
6,10.07.2021 19:04:59,"19,6","20,0","FI, Voimakasiini","1 day, 9:56:18"
7,10.07.2021 19:20:04,"19,6","20,0","FI, Voimakasiini","1 day, 10:11:23"
8,10.07.2021 19:35:09,"20,5","20,0","FI, Voimakasiini","1 day, 10:26:28"
9,10.07.2021 19:50:14,"19,6","20,0","FI, Voimakasiini","1 day, 10:41:33"
10,10.07.2021 20:05:19,"19,6","20,0","FI, Voimakasiini","1 day, 10:56:38"
11,10.07.2021 20:20:24,"20,2","20,0","FI, Voimakasiini","1 day, 11:11:43"
12,10.07.2021 20:35:29,"19,4","20,0","FI, Voimakasiini","1 day, 11:26:48"
13,10.07.2021 20:50:34,"19,6","20,0","FI, Voimakasiini","1 day, 11:41:53"
14,10.07.2021 21:05:39,"19,6","20,0","FI, Voimakasiini","1 day, 11:56:58"
15,10.07.2021 21:20:44,"20,1","20,0","FI, Voimakasiini","1 day, 12:12:03"
16,10.07.2021 21:35:49,"19,2","20,0","FI, Voimakasiini","1 day, 12:27:08"
17,10.07.2021 21:50:54,"20,1","20,0","FI, Voimakasiini","1 day, 12:42:13"
18,10.07.2021 22:05:59,"19,4","20,0","FI, Voimakasiini","1 day, 12:57:18"
19,10.07.2021 22:21:04,"19,9","20,0","FI, Voimakasiini","1 day, 13:12:23"
20,10.07.2021 22:36:09,"19,3","20,0","FI, Voimakasiini","1 day, 13:27:28"
21,10.07.2021 22:51:14,"19,7","20,0","FI, Voimakasiini","1 day, 13:42:33"
22,10.07.2021 23:06:19,"19,7","20,0","FI, Voimakasiini","1 day, 13:57:38"
23,10.07.2021 23:21:24,"19,7","20,0","FI, Voimakasiini","1 day, 14:12:43"
24,10.07.2021 23:36:29,"19,7","20,0","FI, Voimakasiini","1 day, 14:27:48"
25,10.07.2021 23:51:34,"19,7","20,0","FI, Voimakasiini","1 day, 14:42:53"
1,11.07.2021 00:06:39,"19,7","20,0","FI, Voimakasiini","1 day, 14:57:58"
2,11.07.2021 00:21:44,"19,6","20,0","FI, Voimakasiini","1 day, 15:13:03"
3,11.07.2021 00:36:49,"19,6","20,0","FI, Voimakasiini","1 day, 15:28:08"
4,11.07.2021 00:51:54,"19,6","20,0","FI, Voimakasiini","1 day, 15:43:13"
5,11.07.2021 01:06:59,"20,3","20,0","FI, Voimakasiini","1 day, 15:58:18"
6,11.07.2021 01:22:04,"19,4","20,0","FI, Voimakasiini","1 day, 16:13:23"
7,11.07.2021 01:37:09,"19,8","20,0","FI, Voimakasiini","1 day, 16:28:28"
8,11.07.2021 01:52:14,"19,3","20,0","FI, Voimakasiini","1 day, 16:43:33"
9,11.07.2021 02:07:19,"20,2","20,0","FI, Voimakasiini","1 day, 16:58:38"
10,11.07.2021 02:22:24,"19,6","20,0","FI, Voimakasiini","1 day, 17:13:43"
11,11.07.2021 02:37:29,"19,7","20,0","FI, Voimakasiini","1 day, 17:28:48"
12,11.07.2021 02:52:34,"19,8","20,0","FI, Voimakasiini","1 day, 17:43:53"
13,11.07.2021 03:07:39,"19,8","20,0","FI, Voimakasiini","1 day, 17:58:58"
14,11.07.2021 03:22:44,"19,6","20,0","FI, Voimakasiini","1 day, 18:14:03"
15,11.07.2021 03:37:49,"19,4","20,0","FI, Voimakasiini","1 day, 18:29:08"
16,11.07.2021 03:52:54,"19,4","20,0","FI, Voimakasiini","1 day, 18:44:13"
17,11.07.2021 04:07:59,"20,2","20,0","FI, Voimakasiini","1 day, 18:59:18"
18,11.07.2021 04:23:04,"19,4","20,0","FI, Voimakasiini","1 day, 19:14:23"
